         Vardas             Pavarde     Galutinis(Vid.) / Galutinis(Med)
        Vardas1            Pavarde1                3.88            3.8
       Vardas10           Pavarde10             4.18667            4.4
      Vardas100          Pavarde100             6.69333              6
     Vardas1000         Pavarde1000                2.84            3.4
    Vardas10000        Pavarde10000             4.69333            4.4
     Vardas1001         Pavarde1001             6.66667            6.4
     Vardas1002         Pavarde1002             3.14667            3.2
     Vardas1003         Pavarde1003                7.64            7.8
     Vardas1004         Pavarde1004             6.57333            6.6
     Vardas1005         Pavarde1005                6.52            6.6
     Vardas1006         Pavarde1006             4.10667              4
     Vardas1007         Pavarde1007             6.65333              7
     Vardas1008         Pavarde1008                 7.8            8.2
     Vardas1009         Pavarde1009                4.56              4
      Vardas101          Pavarde101                4.12            4.6
     Vardas1010         Pavarde1010             7.22667            7.2
     Vardas1011         Pavarde1011             4.58667            4.8
     Vardas1012         Pavarde1012             7.61333            7.8
     Vardas1013         Pavarde1013             3.42667            3.4
     Vardas1014         Pavarde1014             7.61333            7.4
     Vardas1015         Pavarde1015             2.70667            2.2
     Vardas1016         Pavarde1016                7.04            7.2
     Vardas1017         Pavarde1017                4.48            4.4
     Vardas1018         Pavarde1018             6.62667              7
     Vardas1019         Pavarde1019             4.62667            4.6
      Vardas102          Pavarde102             5.30667            5.6
     Vardas1020         Pavarde1020             4.82667            5.2
     Vardas1021         Pavarde1021             7.50667            7.4
     Vardas1022         Pavarde1022             5.54667            5.6
     Vardas1023         Pavarde1023             6.10667            6.4
     Vardas1024         Pavarde1024             6.41333            6.6
     Vardas1025         Pavarde1025             6.05333            6.4
     Vardas1026         Pavarde1026             6.90667            7.2
     Vardas1027         Pavarde1027             5.33333            4.4
     Vardas1028         Pavarde1028             3.06667            3.2
     Vardas1029         Pavarde1029             7.69333            7.4
      Vardas103          Pavarde103             5.94667              6
     Vardas1030         Pavarde1030             3.14667            3.2
     Vardas1031         Pavarde1031                8.36              9
     Vardas1032         Pavarde1032             3.29333            3.4
     Vardas1033         Pavarde1033                6.52            6.6
     Vardas1034         Pavarde1034                5.44            5.2
     Vardas1035         Pavarde1035                4.48              4
     Vardas1036         Pavarde1036             6.49333            6.6
     Vardas1037         Pavarde1037             4.86667              5
     Vardas1038         Pavarde1038                6.32            6.4
     Vardas1039         Pavarde1039             4.66667            4.8
      Vardas104          Pavarde104             8.21333            8.4
     Vardas1040         Pavarde1040                6.36            6.6
